latitude,longitude,altitude,geometry,@id,highway,public_transport,name,shelter,bus,bench,alt_name:lld,name:it,name:lld,departures_board,operator,old_name,route_ref,bus_routes,created_by,wheelchair,note,tactile_paving,covered,source,ref,name:de,addr:city,addr:postcode,addr:street,alt_name,shelter_type,amenity,bin,network,toilets:wheelchair,designation,local_ref,mapillary,pole,survey:date,official_name,website,description,fixme,lit,passenger_information_display,surface,building
46.1385295,11.1090681,,Point,node/303846255,bus_stop,platform,Lavis / Nazionale,yes,yes,no,,,,,,Lavis / Stazione FTM,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1433031,11.1065771,,Point,node/303846256,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1431966,11.1065497,,Point,node/303846257,bus_stop,,Lavis / Cembra,yes,,no,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1441758,11.1124449,,Point,node/303846258,bus_stop,,Via Cembra / incrocio via Bresadola,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1441044,11.1126287,,Point,node/303846259,bus_stop,,Via Cembra / incrocio via Bresadola,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1417577,11.1147018,,Point,node/303847803,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1505,11.1252146,,Point,node/303847807,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1504035,11.1252938,,Point,node/303847811,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1543849,11.1361319,,Point,node/303847813,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1543981,11.1367197,,Point,node/303847816,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1567903,11.1529884,,Point,node/303854089,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1571002,11.1528787,,Point,node/303854091,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.155214,11.1559616,,Point,node/303854095,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1552195,11.1562223,,Point,node/303854098,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.156158,11.1612958,,Point,node/303855954,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1561909,11.1611373,,Point,node/303855956,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1597771,11.1713659,,Point,node/303855959,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1597163,11.1709604,,Point,node/303855960,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1603719,11.1877151,,Point,node/303855961,bus_stop,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2330328,10.827074,,Point,node/304626761,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.420867,11.6819695,,Point,node/307127775,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8976568,10.8441374,,Point,node/315123335,bus_stop,platform,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0820164,11.1965676,,Point,node/319731182,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0677134,11.1846228,,Point,node/320903620,bus_stop,,Cimirlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2973684,10.8674886,,Point,node/334844780,bus_stop,platform,"Folgarida, Belvedere Ski",,yes,,,,,,,,,Flixbus 1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.4719476,11.7775636,,Point,node/335691575,bus_stop,,,,,,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.4663851,11.78078,,Point,node/335691579,bus_stop,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.071893,11.1195651,,Point,node/364180459,bus_stop,platform,"Piazza Dante / ""Stazione FS""",yes,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0680979,11.1186661,,Point,node/364186995,bus_stop,platform,Rosmini / S.Maria Maggiore,yes,yes,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0645194,11.1209105,,Point,node/364186998,bus_stop,,Travai / al Nuoto,no,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0651131,11.1232914,,Point,node/364187002,bus_stop,platform,Piazza di Fiera,no,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0669344,11.1264718,,Point,node/364187004,bus_stop,platform,S.Francesco / Porta Nuova,yes,yes,,,,,,,,,,,yes,new position from june 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0666524,11.1314749,,Point,node/364187010,bus_stop,,Venezia / Cave,no,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0718535,11.1260351,,Point,node/364193204,bus_stop,platform,"Sanzio / ""Castello""",no,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0673063,11.1608971,,Point,node/365500519,bus_stop,,Spré / Pinara,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0656998,11.159693,,Point,node/365500521,bus_stop,,"Povo / ""Casa di riposo""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0692598,11.1612228,,Point,node/365500522,bus_stop,,Spré / S.Lucia,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0674504,11.1612363,,Point,node/365500523,bus_stop,,Spré / Pinara,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0656348,11.1579411,,Point,node/365500524,bus_stop,platform,"Povo / ""Polo sociale""",yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0656236,11.1595278,,Point,node/365500527,bus_stop,,"Povo / ""Casa di riposo""",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0654914,11.1579535,,Point,node/365500528,bus_stop,platform,"Povo / ""Polo sociale""",no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0663241,11.1566487,,Point,node/365500543,bus_stop,,Povo / S.Agata,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0659831,11.1545571,,Point,node/365500544,bus_stop,,Povo / Piazza Manci,yes,,yes,,,,,,,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
46.0640427,11.1520169,,Point,node/365500545,bus_stop,platform,"Povo / ""Centro Civico""",yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0639415,11.1519196,,Point,node/365500546,bus_stop,platform,"Povo / ""Centro Civico""",no,yes,no,,,,timetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0620366,11.150938,,Point,node/365500547,bus_stop,,Povo / Salè,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0620286,11.151775,,Point,node/365500548,bus_stop,,Povo / Salè,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0647601,11.1225565,,Point,node/383050622,bus_stop,platform,Travai / Piazza Fiera,no,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0649234,11.1417581,,Point,node/383160021,bus_stop,,"Mesiano / ""Stazione FS""",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0650375,11.1418059,,Point,node/383160225,bus_stop,,"Mesiano / ""Stazione FS""",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0657508,11.146331,,Point,node/383165047,bus_stop,,Povo / Valoni,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0655767,11.1462844,,Point,node/383170416,bus_stop,,Povo / Valoni,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0631925,11.1500781,,Point,node/383173920,bus_stop,platform,"Povo / ""Fac. Scienze""",no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0658243,11.1546195,,Point,node/383181183,bus_stop,,Povo / Piazza Manci,no,,yes,,,,,,,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
46.1828377,11.1057582,,Point,node/387519870,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1825001,11.1055556,,Point,node/387519871,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1777992,11.1054842,,Point,node/387519880,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1564084,11.0914539,,Point,node/387520096,bus_stop,,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.156437,11.0918671,,Point,node/387520097,bus_stop,,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1592066,11.0981262,,Point,node/387520098,bus_stop,,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1663779,11.1094529,,Point,node/387520124,bus_stop,,,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2135956,11.1165097,,Point,node/387881896,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2174189,11.1266236,,Point,node/387882476,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2142116,11.0915549,,Point,node/388416124,bus_stop,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1955703,11.1018693,,Point,node/389537122,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.195762,11.1015998,,Point,node/389537123,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8887296,10.846104,,Point,node/393013272,bus_stop,platform,Riva del Garda - Via D. Chiesa,yes,yes,,,,,,ATV;Trentino Trasporti S.p.A.,,1;2;3;4;484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8641006,11.0289617,,Point,node/409500199,bus_stop,,SS 12 Rovercenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
